puisi,title,author,puisi_with_header
"Kau yang mengaku kekasihku,, 
 Aku sedih akan ukiran manismu yang memahat setiap dinding dunia,, 
 Membuatku jatuh dan terhempas diatas tungku penyiksaan,, 
 Seolah-olah aku pimpin tapi kau mengelaknya,, 
 Caramu tak seindah dulu,, 
 Memikat dan mempesona dalam nuansa bening,, 
 Yang membuatku bertekuk lutut cinta padamu,, 
 Dalam kehausan sentuhan bidadari langit,, 
 Andai aku kupu-kupu,, 
 Lelah sudah hati ini menyusuri setiap sudut bumi,, 
 Mencari obat yang bisa menghilangkan penyakit hatimu,, 
 Karena sayap-sayapku patah dan hancur lebur di terpa angin,, 
 Masih banyak kupu-kupu yang memiliki sayap yang kuat,, 
 Yang bisa mengililingi dunia guna mencari obat mujarab untukmu,, 
 Pilihlah satu, yang mampu mebawamu menerawang dunia melewati sang waktu,, 
 Untuk suatu keabadian dan untuk satu kata cinta,, 
 Ini bukanlah “Magic” yang dialunkan Lyla 
 Ataupun Goliath dengan “Cinta Monyet”Bahkan Kotak dengan “Selalu Cinta”Bagiku ini adalah cerita “Cinta dan Benci” yang dialunkan oleh Geisha. 
 Aku tak akan mampu membencimu,, 
 Dan aku pun tak mampu mencintaimu seperti ini,, 
  
 ",CINTA DAN BENCI,Oleh Ronald Soemitro,"CINTA DAN BENCI 
 Oleh Ronald Soemitro 
  
 Kau yang mengaku kekasihku,, 
 Aku sedih akan ukiran manismu yang memahat setiap dinding dunia,, 
 Membuatku jatuh dan terhempas diatas tungku penyiksaan,, 
 Seolah-olah aku pimpin tapi kau mengelaknya,, 
 Caramu tak seindah dulu,, 
 Memikat dan mempesona dalam nuansa bening,, 
 Yang membuatku bertekuk lutut cinta padamu,, 
 Dalam kehausan sentuhan bidadari langit,, 
 Andai aku kupu-kupu,, 
 Lelah sudah hati ini menyusuri setiap sudut bumi,, 
 Mencari obat yang bisa menghilangkan penyakit hatimu,, 
 Karena sayap-sayapku patah dan hancur lebur di terpa angin,, 
 Masih banyak kupu-kupu yang memiliki sayap yang kuat,, 
 Yang bisa mengililingi dunia guna mencari obat mujarab untukmu,, 
 Pilihlah satu, yang mampu mebawamu menerawang dunia melewati sang waktu,, 
 Untuk suatu keabadian dan untuk satu kata cinta,, 
 Ini bukanlah “Magic” yang dialunkan Lyla 
 Ataupun Goliath dengan “Cinta Monyet”Bahkan Kotak dengan “Selalu Cinta”Bagiku ini adalah cerita “Cinta dan Benci” yang dialunkan oleh Geisha. 
 Aku tak akan mampu membencimu,, 
 Dan aku pun tak mampu mencintaimu seperti ini,, 
  
 "
"Hani 
 Andai kaupun mengerti akan sesuatu ini 
 Atau kau sudah menjadi wanita masa kini 
 Materi yang selalu kau cari dari seorang lelaki 
 Hani Sepi menanti di depan sesuatu yang tak pasti 
 Bertatih melangkah menujumu yang ku nanti 
 Sepi, berpuisi, menanti dan sendiriHani 
 Kau tau? 
 Di antara senyum dan tangis ku 
 Di senyumku, ku redam air mata 
 Di tawaku, ku sembunyikan air mataku 
 Senyum dan tangisku menyatu 
 Tanpa ragu diriku melangkah menujumu 
 Kalau memang racun yang kan Kau beri kukan ikhlas menikmati meski perih terasa menyelimuti diri. 
  
 ",HANI,Oleh Muhammad Hafeedz Amar Riskha,"HANI 
 Oleh Muhammad Hafeedz Amar Riskha 
  
 Hani 
 Andai kaupun mengerti akan sesuatu ini 
 Atau kau sudah menjadi wanita masa kini 
 Materi yang selalu kau cari dari seorang lelaki 
 Hani Sepi menanti di depan sesuatu yang tak pasti 
 Bertatih melangkah menujumu yang ku nanti 
 Sepi, berpuisi, menanti dan sendiriHani 
 Kau tau? 
 Di antara senyum dan tangis ku 
 Di senyumku, ku redam air mata 
 Di tawaku, ku sembunyikan air mataku 
 Senyum dan tangisku menyatu 
 Tanpa ragu diriku melangkah menujumu 
 Kalau memang racun yang kan Kau beri kukan ikhlas menikmati meski perih terasa menyelimuti diri. 
  
 "
"Di saatku sedihku slalu mengingatMu.. 
 Di saatku sakitku pun slalu mengingatMu.. 
 Ketenangan akan ku dapatjika berada di sisiMu.. 
 Kesejukan akan ku rasa 
 Jika berada di dekatMu...Sungguh..Memiliki 
 Mu. 
 adalah suatu kebahagiaanBersama 
 Mu adalah suatu keinginan 
 Berada di Syurga 
 Mu adalah suatu impian 
 Mencapai semua itu adalah suatu harapan 
 Dan sungguh.. 
 yang paling ku dambakansaat mendapatkan kasih sayang dari 
 Muadalah suatu mahabbah terindahbagi hidupku tuhan.. 
  
 ",MAHABBAH TERINDAH,Oleh Rini Nur'aeni,"MAHABBAH TERINDAH 
 Oleh Rini Nur'aeni 
 Di saatku sedihku slalu mengingatMu.. 
 Di saatku sakitku pun slalu mengingatMu.. 
 Ketenangan akan ku dapatjika berada di sisiMu.. 
 Kesejukan akan ku rasa 
 Jika berada di dekatMu...Sungguh..Memiliki 
 Mu. 
 adalah suatu kebahagiaanBersama 
 Mu adalah suatu keinginan 
 Berada di Syurga 
 Mu adalah suatu impian 
 Mencapai semua itu adalah suatu harapan 
 Dan sungguh.. 
 yang paling ku dambakansaat mendapatkan kasih sayang dari 
 Muadalah suatu mahabbah terindahbagi hidupku tuhan.. 
  
 "
"Aku ingin kita duduk disini, di ruang ini 
 Aku ingin kita membicarakan semuanya dari awalmenceritakan semua yang ada pada diri kita masing -masing 
 Tentang kita atau tentang siapapun 
 Tidak perlu hal yang menurutmu rahasia untuk dirimu 
 Hanya beberapa hal yang ingin kau bagikan dengan kami 
 Walaupun itu suka ataupun duka 
 Kita akan tetap disini untuk mendengarkanmu 
 Tak peduli apa yang terjadi diluar sana 
 Yang aku tahu hanya bagaimana cara menjaga lingkaran ini tetap utuh 
 Utuh menjadi pilar yang kokoh 
 Pikar yang kita sebut dengan PERSAHABATAN 
  
 ",PERSAHABATAN KITA,Oleh NWS,"PERSAHABATAN KITA 
 Oleh NWS 
  
 Aku ingin kita duduk disini, di ruang ini 
 Aku ingin kita membicarakan semuanya dari awalmenceritakan semua yang ada pada diri kita masing -masing 
 Tentang kita atau tentang siapapun 
 Tidak perlu hal yang menurutmu rahasia untuk dirimu 
 Hanya beberapa hal yang ingin kau bagikan dengan kami 
 Walaupun itu suka ataupun duka 
 Kita akan tetap disini untuk mendengarkanmu 
 Tak peduli apa yang terjadi diluar sana 
 Yang aku tahu hanya bagaimana cara menjaga lingkaran ini tetap utuh 
 Utuh menjadi pilar yang kokoh 
 Pikar yang kita sebut dengan PERSAHABATAN 
  
 "
"Hei... 
 Aku rindu 
 Adakah kau juga merasa? 
  
 Aku merindukan tawa mu 
 Suara nya mampu membuat ku tenang 
 Candaan mu, selalu melukiskan garis lengkung bernama senyum 
 Tingkah konyol mu sukses meloloskan tawa bahagia ku 
  
 Aku juga merindukan pesan dari mu 
 Membuat ku selalu memandang layar ponsel 
 Dengan penuh harap 
 Menunggu pesan rindu dari mu 
 Tapi sampai saat ini 
 Tak satu pun pesan rindu itu menghampiri 
 Apakah pesan rindu ku tak pernah sampai? 
 Ataukah kau sudah melupakan ku? 
  
 ",PESAN RINDU,Oleh Nha,"PESAN RINDU 
 Oleh Nha 
  
 Hei... 
 Aku rindu 
 Adakah kau juga merasa? 
  
 Aku merindukan tawa mu 
 Suara nya mampu membuat ku tenang 
 Candaan mu, selalu melukiskan garis lengkung bernama senyum 
 Tingkah konyol mu sukses meloloskan tawa bahagia ku 
  
 Aku juga merindukan pesan dari mu 
 Membuat ku selalu memandang layar ponsel 
 Dengan penuh harap 
 Menunggu pesan rindu dari mu 
 Tapi sampai saat ini 
 Tak satu pun pesan rindu itu menghampiri 
 Apakah pesan rindu ku tak pernah sampai? 
 Ataukah kau sudah melupakan ku? 
  
 "
"Ayah 
 Dimataku kau lah sosok yang paling bijaksana 
 Senyummu yang penuh dengan kasih sayang 
 Matamu 
 hidungmu masih ada dalam ingatanku walau kau berada dikejauhan sana 
 Ayah .... 
 Entah mengapa Tuhan mengambilmu lebih awal 
 Sebelum aku bisa membahagiakanmu 
 Aku sedih aku merana 
 Tiada sang matahari yang menyinari lagi 
 Engkau bagaikan matahari yang slalu bersinar 
 Tiada kau disini mendung terasa dunia initapi ayah ..... 
 Doaku selalu ada buat ayah 
 Setiap waktu, 
 Setiap detik, 
 Setiap menit, 
 Setiap hembusan nafasku 
 Ayah ,,,, 
 Andai kau masih ada Ku ingin waktu ini hanya untuk bersamamu 
 Sebagai kebersamaan yang terakhir kalinya 
 Ayah ..... 
 Anakmu ini selalu menyayangimu 
 Tak terhalang waktu 
 keadaan dan apapun itu 
 Terimakasih buat semua perjuangan 
 Semua kebaikan, 
 Semua nasihat, 
 Yang telah engkau berikan untukku dan keluarga 
 Semoga kau tenang dan berada di tempat yang paling indah Berada disisiNya 
 Amin 
  
 ",AYAHKU MATAHARIKU,Oleh Isty,"AYAHKU MATAHARIKU 
 Oleh Isty 
  
 Ayah 
 Dimataku kau lah sosok yang paling bijaksana 
 Senyummu yang penuh dengan kasih sayang 
 Matamu 
 hidungmu masih ada dalam ingatanku walau kau berada dikejauhan sana 
 Ayah .... 
 Entah mengapa Tuhan mengambilmu lebih awal 
 Sebelum aku bisa membahagiakanmu 
 Aku sedih aku merana 
 Tiada sang matahari yang menyinari lagi 
 Engkau bagaikan matahari yang slalu bersinar 
 Tiada kau disini mendung terasa dunia initapi ayah ..... 
 Doaku selalu ada buat ayah 
 Setiap waktu, 
 Setiap detik, 
 Setiap menit, 
 Setiap hembusan nafasku 
 Ayah ,,,, 
 Andai kau masih ada Ku ingin waktu ini hanya untuk bersamamu 
 Sebagai kebersamaan yang terakhir kalinya 
 Ayah ..... 
 Anakmu ini selalu menyayangimu 
 Tak terhalang waktu 
 keadaan dan apapun itu 
 Terimakasih buat semua perjuangan 
 Semua kebaikan, 
 Semua nasihat, 
 Yang telah engkau berikan untukku dan keluarga 
 Semoga kau tenang dan berada di tempat yang paling indah Berada disisiNya 
 Amin 
  
 "
"Dia dia dia dan dia lagi? 
 Untuk yang keberapa kali kamu... menanyakan dia kepada ku.... 
 Lalu, bolehkah aku berlari kencang dan berenang di danau sana? 
  
 Aku sudah tidak tahan mendengarnya... 
 Kalau kamu yang selalu saja menanyakan dia dia dan dia. 
 Apakah tidak ada lagi orang yang kamu dipikirkan selain dia? 
 Oh tuhan... 
 Aku lelah menunggunya seperti ini... 
  
 Haruskah aku cerita pada mu... 
 kalau aku menyukainya? 
 Apa harus? 
 Mungkin gak usahlah 
 Ya lagi pula kamu menyukai dia bukan diriku... 
 Toh, itu bakal menyakitkan nantinya... 
  
 Iya iya aku paham kamu suka sama dia.... 
 Apa kamu pernah berfikir gak sih... 
 Kalau seandainya ada orang yang sudah berusaha buat jadi yang terbaik di depan kamu... 
 Tapi kamu gak peduli itu.... 
 Dan kamu malah merjuangin orang yang enggak seharusnya kamu perjuangin... 
  
 ",DIA LAGI?,Oleh Masita Arianti,"DIA LAGI? 
 Oleh Masita Arianti 
  
 Dia dia dia dan dia lagi? 
 Untuk yang keberapa kali kamu... menanyakan dia kepada ku.... 
 Lalu, bolehkah aku berlari kencang dan berenang di danau sana? 
  
 Aku sudah tidak tahan mendengarnya... 
 Kalau kamu yang selalu saja menanyakan dia dia dan dia. 
 Apakah tidak ada lagi orang yang kamu dipikirkan selain dia? 
 Oh tuhan... 
 Aku lelah menunggunya seperti ini... 
  
 Haruskah aku cerita pada mu... 
 kalau aku menyukainya? 
 Apa harus? 
 Mungkin gak usahlah 
 Ya lagi pula kamu menyukai dia bukan diriku... 
 Toh, itu bakal menyakitkan nantinya... 
  
 Iya iya aku paham kamu suka sama dia.... 
 Apa kamu pernah berfikir gak sih... 
 Kalau seandainya ada orang yang sudah berusaha buat jadi yang terbaik di depan kamu... 
 Tapi kamu gak peduli itu.... 
 Dan kamu malah merjuangin orang yang enggak seharusnya kamu perjuangin... 
  
 "
"Aku beradu sepi dengan malam 
 Aku mengadu lara pada alam 
 Aku bersedih bukan berati kisahku kelam 
 Aku hanya merasakan sepi yang mendalam 
 Bukan ku meragu pada rasaku 
 Hanya aku yang tak mampu berlalu 
 Pada kerinduan yang membelenggu 
 Pendar hati merasakan sendu 
 Ilalang pun mencoba tuk merayu 
 Untuk ku lepas kerinduanku 
 Lelah bukan berati aku kalah 
 Penantianku tak akan pernah goyah 
 Hampa bukan berati aku salah 
 Kesetiaanku tak akan pernah musnah 
 Laraku bukan suatu masalah 
 Merindu kasih untuk cinta alasanku untuk mengalah 
  
 ",MERINDU BIRU,Oleh Nursitasari,"MERINDU BIRU 
 Oleh Nursitasari 
  
 Aku beradu sepi dengan malam 
 Aku mengadu lara pada alam 
 Aku bersedih bukan berati kisahku kelam 
 Aku hanya merasakan sepi yang mendalam 
 Bukan ku meragu pada rasaku 
 Hanya aku yang tak mampu berlalu 
 Pada kerinduan yang membelenggu 
 Pendar hati merasakan sendu 
 Ilalang pun mencoba tuk merayu 
 Untuk ku lepas kerinduanku 
 Lelah bukan berati aku kalah 
 Penantianku tak akan pernah goyah 
 Hampa bukan berati aku salah 
 Kesetiaanku tak akan pernah musnah 
 Laraku bukan suatu masalah 
 Merindu kasih untuk cinta alasanku untuk mengalah 
  
 "
"Hati yang Gersang 
 Perpijak ditanah Yang Penuh Dengan Onak 
 Setiap Kali langkah kaki ini, terluka dan Berdarah 
 Kian Lama kian menjadi beku dan batu. 
 Ke mana akan ku arahkan suara ini. 
 Ditanah Gersang yang bagai tidak berpenghuni 
 Walau Suaraku bagaikan Petir disiang hari 
 Namun Wajah lugu dan Bak Bayi tidak perduli 
 Luka hati kian menusuk Sanu bari 
 Namun Bumi Gersang tidak pernah perduli 
 Akan hanya jadi lilin menerangi gelapnya malam hari 
 Menerangi sekiling, diri terbakar, tiada yang sadar. 
 Meronta hati ditangah Gersang. 
 Kian Menjadi dan membentuk perilaku perilaku 
 Yang Tidak berbudaya dan tidak bepekerti 
 Bisu dan Tuli..................... 
  
 ",GERSANG,Oleh Suriyanto,"GERSANG 
 Oleh Suriyanto 
 Hati yang Gersang 
 Perpijak ditanah Yang Penuh Dengan Onak 
 Setiap Kali langkah kaki ini, terluka dan Berdarah 
 Kian Lama kian menjadi beku dan batu. 
 Ke mana akan ku arahkan suara ini. 
 Ditanah Gersang yang bagai tidak berpenghuni 
 Walau Suaraku bagaikan Petir disiang hari 
 Namun Wajah lugu dan Bak Bayi tidak perduli 
 Luka hati kian menusuk Sanu bari 
 Namun Bumi Gersang tidak pernah perduli 
 Akan hanya jadi lilin menerangi gelapnya malam hari 
 Menerangi sekiling, diri terbakar, tiada yang sadar. 
 Meronta hati ditangah Gersang. 
 Kian Menjadi dan membentuk perilaku perilaku 
 Yang Tidak berbudaya dan tidak bepekerti 
 Bisu dan Tuli..................... 
  
 "
"Andai aku bisa jadi mutiara hatimu 
 Aku akan menghiasi hari-harimu dengan keindahanku 
 dan, andai aku bisa jadi malikat 
 Aku akan selalu menjagamu dan selalu ada disisimu 
  
 Tapi.... 
 Aku bagikan bintang dilangit, 
 yang hanya bisa menerangi malammu 
 dan menemanimu hingga kamu terlelap dalam mimpi indahmu 
  
 dan aku tak bisa ada untukmu saat kamu membuka mata 
 karena telah ada yang akan menyambutmu dengan senyuman 
 Aku hanya ingin hadir untukmu saat kamu telah letih 
 dan menemanimu saat kamu berada dalam kesunyian 
 Maafkan aku yang tak bisa memberi senyuman untukmu 
 saat kamu sadar dari tidurmu 
  
 Aku tak akan pernah biarkan kamu dalam kesendirian dan kesunyian 
 Walaupun aku hanya bisa melihatmu 
 dan tak mampu untuk menyentuhmu .... 
  
 ",TAK DAPAT MEMILIKIMU,Puisi Nur'Aisyah,"TAK DAPAT MEMILIKIMU 
 Puisi Nur'Aisyah 
  
 Andai aku bisa jadi mutiara hatimu 
 Aku akan menghiasi hari-harimu dengan keindahanku 
 dan, andai aku bisa jadi malikat 
 Aku akan selalu menjagamu dan selalu ada disisimu 
  
 Tapi.... 
 Aku bagikan bintang dilangit, 
 yang hanya bisa menerangi malammu 
 dan menemanimu hingga kamu terlelap dalam mimpi indahmu 
  
 dan aku tak bisa ada untukmu saat kamu membuka mata 
 karena telah ada yang akan menyambutmu dengan senyuman 
 Aku hanya ingin hadir untukmu saat kamu telah letih 
 dan menemanimu saat kamu berada dalam kesunyian 
 Maafkan aku yang tak bisa memberi senyuman untukmu 
 saat kamu sadar dari tidurmu 
  
 Aku tak akan pernah biarkan kamu dalam kesendirian dan kesunyian 
 Walaupun aku hanya bisa melihatmu 
 dan tak mampu untuk menyentuhmu .... 
  
 "
"Rasa, 
 Siapa yang peduli akan arti sebuah rasa? 
 Mereka yang mengumbar kata dengan mudahnya, apa benar mengerti hakikinya rasa? 
  
 Rasa, 
 Apa itu Rasa? 
 Atau siapa rasa? 
 Dimana Rasa? 
 Bagaimana Rasa? 
 Adakah yang mampu menjawabnya? 
  
 Dunia ini telah dibodohi oleh hal tak kasat mata yang disebut Rasa 
 Sebuah,,,, 
 Apalah itu, yang bahkan untuk menggambarkannya dalam sebuah titik pun aku tiada mampu 
  
 Tentang rasa, 
 Huh, 
 Adakah terbersit dalam benak, seperti apa bentuk ""rasa sakit?"" 
 Atau bagaimana gambar ""rasa sayang?"" 
 Mengapa harus terluka oleh ""rasa?"" 
 Atau bahagia karena ""rasa?"" 
  
 Apa kalian yakin benar, yang kalian ""rasa itu sakit?"" 
 Atau yang sedang kalian ""rasa itu sayang?"" 
 Adakah bukti untuk menjelaskan? 
 Sungguh, dunia ini dipenuhi hal-hal yang teramat sulit dijelaskan namun begitu mudah diungkapkan 
  
 Tentang rasa 
 Tentang ketidaknyataannya 
  
 ",TENTANG RINDU,Oleh Vajra,"TENTANG RINDU 
 Oleh Vajra 
  
 Rasa, 
 Siapa yang peduli akan arti sebuah rasa? 
 Mereka yang mengumbar kata dengan mudahnya, apa benar mengerti hakikinya rasa? 
  
 Rasa, 
 Apa itu Rasa? 
 Atau siapa rasa? 
 Dimana Rasa? 
 Bagaimana Rasa? 
 Adakah yang mampu menjawabnya? 
  
 Dunia ini telah dibodohi oleh hal tak kasat mata yang disebut Rasa 
 Sebuah,,,, 
 Apalah itu, yang bahkan untuk menggambarkannya dalam sebuah titik pun aku tiada mampu 
  
 Tentang rasa, 
 Huh, 
 Adakah terbersit dalam benak, seperti apa bentuk ""rasa sakit?"" 
 Atau bagaimana gambar ""rasa sayang?"" 
 Mengapa harus terluka oleh ""rasa?"" 
 Atau bahagia karena ""rasa?"" 
  
 Apa kalian yakin benar, yang kalian ""rasa itu sakit?"" 
 Atau yang sedang kalian ""rasa itu sayang?"" 
 Adakah bukti untuk menjelaskan? 
 Sungguh, dunia ini dipenuhi hal-hal yang teramat sulit dijelaskan namun begitu mudah diungkapkan 
  
 Tentang rasa 
 Tentang ketidaknyataannya 
  
 "
"Oleh Asep Taruna ( Una ) 
 Di dalam menjalani sebuah kehidupan 
 Manusia selalu menginginkan hal sempurna 
 Namun kita tidak sadar bahwa manusia 
 Tidak ada yang bisa sempurna dalam segala hal 
 Ketika menjalani sebuah kehidupan Masalah adalah hal yang pasti 
 Akan datang menimpa kehidupan manusia 
 Baik itu masalah besar ataupun masalah kecil 
 Masalah bukanlah hal yang harus kita hindari 
 Masalah bukanlah hal yang harus kita keluhkan 
 Dan masalah bukanlah hal yang harus kita diamkan 
 Karena Tuhan menciptakan kita bukan untuk mengeluh dan diam 
 Dan banyak diantara kita yang mampu Menghadapi setiap permasalahan yang datang 
 Mereka berpikir bagaimana caranya menghadapi masalah tersebut 
 Mereka berhasil keluar dan bangkit untuk maju 
 Manusia diberikan akal dan pikiran oleh Tuhan 
 Dengan menggunakan akal dan pikiran tersebut 
 Secara tidak langsung manusia telah bersyukur 
 Lalu apa kesempurnaan yang bisa kita buat ? 
 Dan kesempurnaan yang bijaksana 
 Yang bisa kita lakukan adalah 
 Bersyukur dan tidak mengeluh terhadap masalah yang ada 
 Ya, itulah kesempurnaan hidup yang sederhana 
  
 ",KESEMPURNAAN,,"KESEMPURNAAN 
 Oleh Asep Taruna ( Una ) 
 Di dalam menjalani sebuah kehidupan 
 Manusia selalu menginginkan hal sempurna 
 Namun kita tidak sadar bahwa manusia 
 Tidak ada yang bisa sempurna dalam segala hal 
 Ketika menjalani sebuah kehidupan Masalah adalah hal yang pasti 
 Akan datang menimpa kehidupan manusia 
 Baik itu masalah besar ataupun masalah kecil 
 Masalah bukanlah hal yang harus kita hindari 
 Masalah bukanlah hal yang harus kita keluhkan 
 Dan masalah bukanlah hal yang harus kita diamkan 
 Karena Tuhan menciptakan kita bukan untuk mengeluh dan diam 
 Dan banyak diantara kita yang mampu Menghadapi setiap permasalahan yang datang 
 Mereka berpikir bagaimana caranya menghadapi masalah tersebut 
 Mereka berhasil keluar dan bangkit untuk maju 
 Manusia diberikan akal dan pikiran oleh Tuhan 
 Dengan menggunakan akal dan pikiran tersebut 
 Secara tidak langsung manusia telah bersyukur 
 Lalu apa kesempurnaan yang bisa kita buat ? 
 Dan kesempurnaan yang bijaksana 
 Yang bisa kita lakukan adalah 
 Bersyukur dan tidak mengeluh terhadap masalah yang ada 
 Ya, itulah kesempurnaan hidup yang sederhana 
  
 "
"Oleh  Kahlil Gibran 
  
 Kelmarin aku berdiri berdekatan pintu gerbang sebuah rumah ibadat dan bertanya kepada manusia yang lalu-lalang di situ tentang misteri dan kesucian cinta. 
 Seorang lelaki setengah baya menghampiri, tubuhnya rapuh wajahnya gelap. Sambil mengeluh dia berkata, ""Cinta telah membuat suatu kekuatan menjadi lemah, aku mewarisinya dari Manusia Pertama."" 
  
 Seorang pemuda dengan tubuh kuat dan besar menghampiri. Dengan suara bagai menyanyi dia berkata, ""Cinta adalah sebuah ketetapan hati yang ditumbuhkan dariku, yang rnenghubungkan masa sekarang dengan generasi masa lalu dan generasi yang akan datang.' 
  
 Seorang wanita dengan wajah melankolis menghampiri dan sambil mendesah, dia berkata, 'Cinta adalah racun pembunuh, ular hitam berbisa yang menderita di neraka, terbang melayang dan berputar-putar menembusi langit sampai ia jatuh tertutup embun, ia hanya akan diminum oleh roh-roh yang haus. Kemudian mereka akan mabuk untuk beberapa saat, diam selama satu tahun dan mati untuk selamanya.' 
  
 Seorang gadis dengan pipi kemerahan menghampiri dan dengan tersenyum dia berkata, ""Cinta itu laksana air pancuran yang digunakan roh pengantin sebagai siraman ke dalam roh orang-orang yg kuat, membuat mereka bangkit dalam doa di antara bintang-bintang di malam hari dan senandung pujian di depan matahari di siang hari.' 
  
 Setelah itu seorang lelaki menghampiri. Bajunya hitam, janggutnya panjang dengan dahi berkerut, dia berkata, ""Cinta adalah ketidakpedulian yang buta. la bermula dari hujung masa muda dan berakhir pada pangkal masa muda.' 
  
 Seorang lelaki tampan dengan wajah bersinar dan dengan bahagia berkata, 'Cinta adalah pengetahuan syurgawi yang menyalakan mata kita. Ia menunjukkan segala sesuatu kepada kita seperti para dewa melihatnya.' 
  
 Seorang bermata buta menghampiri, sambil mengetuk-ngetukkan tongkatnya ke tanah dan dia kemudian berkata sambil menangis, 'Cinta adalah kabus tebal yang menyelubungi gambaran sesuatu darinya atau yang membuatnya hanya melihat hantu dari nafsunya yang berkelana di antara batu karang, tuli terhadap suara-suara dari tangisnya sendiri yang bergema di lembah-lembah.' 
  
 Seorang pemuda, dengan membawa sebuah gitar menghampiri dan menyanyi, 'Cinta adalah cahaya ghaib yang bersinar dari kedalaman kehidupan yang peka dan mencerahkan segala yang ada di sekitarnya. Engkau bisa melihat dunia bagai sebuah perarakan yang berjalan melewati padang rumput hijau. Kehidupan adalah bagai sebuah mimpi indah yang diangkat dari kesedaran dan kesedaran.' 
  
 Seorang lelaki dengan badan bongkok dan kakinya bengkok bagai potongan-potongan kain menghampiri. Dengan suara bergetar, dia berkata, ""Cinta adalah istirahat panjang bagi raga di dalam kesunyian makam, kedamaian bagi jiwa dalam kedalaman keabadian.’ 
  
 Seorang anak kecil berumur lima tahun menghampiri dan sambil tertawa dia berkata, ""Cinta adalah ayahku, cinta adalah ibuku. Hanya ayah dan ibuku yang mengerti tentang cinta."" 
  
 Waktu terus berjalan. Manusia terus-menerus melewati rumah ibadat. Masing-masing mempunyai pandangannya tersendiri tentang cinta. Semua menyatakan harapan-harapannya dan mengungkapkan misteri-misteri kehidupannya. 
  
 ",CINTA (III),,"CINTA (III) 
 Oleh  Kahlil Gibran 
  
 Kelmarin aku berdiri berdekatan pintu gerbang sebuah rumah ibadat dan bertanya kepada manusia yang lalu-lalang di situ tentang misteri dan kesucian cinta. 
 Seorang lelaki setengah baya menghampiri, tubuhnya rapuh wajahnya gelap. Sambil mengeluh dia berkata, ""Cinta telah membuat suatu kekuatan menjadi lemah, aku mewarisinya dari Manusia Pertama."" 
  
 Seorang pemuda dengan tubuh kuat dan besar menghampiri. Dengan suara bagai menyanyi dia berkata, ""Cinta adalah sebuah ketetapan hati yang ditumbuhkan dariku, yang rnenghubungkan masa sekarang dengan generasi masa lalu dan generasi yang akan datang.' 
  
 Seorang wanita dengan wajah melankolis menghampiri dan sambil mendesah, dia berkata, 'Cinta adalah racun pembunuh, ular hitam berbisa yang menderita di neraka, terbang melayang dan berputar-putar menembusi langit sampai ia jatuh tertutup embun, ia hanya akan diminum oleh roh-roh yang haus. Kemudian mereka akan mabuk untuk beberapa saat, diam selama satu tahun dan mati untuk selamanya.' 
  
 Seorang gadis dengan pipi kemerahan menghampiri dan dengan tersenyum dia berkata, ""Cinta itu laksana air pancuran yang digunakan roh pengantin sebagai siraman ke dalam roh orang-orang yg kuat, membuat mereka bangkit dalam doa di antara bintang-bintang di malam hari dan senandung pujian di depan matahari di siang hari.' 
  
 Setelah itu seorang lelaki menghampiri. Bajunya hitam, janggutnya panjang dengan dahi berkerut, dia berkata, ""Cinta adalah ketidakpedulian yang buta. la bermula dari hujung masa muda dan berakhir pada pangkal masa muda.' 
  
 Seorang lelaki tampan dengan wajah bersinar dan dengan bahagia berkata, 'Cinta adalah pengetahuan syurgawi yang menyalakan mata kita. Ia menunjukkan segala sesuatu kepada kita seperti para dewa melihatnya.' 
  
 Seorang bermata buta menghampiri, sambil mengetuk-ngetukkan tongkatnya ke tanah dan dia kemudian berkata sambil menangis, 'Cinta adalah kabus tebal yang menyelubungi gambaran sesuatu darinya atau yang membuatnya hanya melihat hantu dari nafsunya yang berkelana di antara batu karang, tuli terhadap suara-suara dari tangisnya sendiri yang bergema di lembah-lembah.' 
  
 Seorang pemuda, dengan membawa sebuah gitar menghampiri dan menyanyi, 'Cinta adalah cahaya ghaib yang bersinar dari kedalaman kehidupan yang peka dan mencerahkan segala yang ada di sekitarnya. Engkau bisa melihat dunia bagai sebuah perarakan yang berjalan melewati padang rumput hijau. Kehidupan adalah bagai sebuah mimpi indah yang diangkat dari kesedaran dan kesedaran.' 
  
 Seorang lelaki dengan badan bongkok dan kakinya bengkok bagai potongan-potongan kain menghampiri. Dengan suara bergetar, dia berkata, ""Cinta adalah istirahat panjang bagi raga di dalam kesunyian makam, kedamaian bagi jiwa dalam kedalaman keabadian.’ 
  
 Seorang anak kecil berumur lima tahun menghampiri dan sambil tertawa dia berkata, ""Cinta adalah ayahku, cinta adalah ibuku. Hanya ayah dan ibuku yang mengerti tentang cinta."" 
  
 Waktu terus berjalan. Manusia terus-menerus melewati rumah ibadat. Masing-masing mempunyai pandangannya tersendiri tentang cinta. Semua menyatakan harapan-harapannya dan mengungkapkan misteri-misteri kehidupannya. 
  
 "
